dataset,iteration,model,n_steps,n_hidden_layers,time,baseline,baseline_time
FASHION,1,LIF,100,3,64.11868754200987,LeNet,3.110999416996492
FASHION,1,ParaLIF,100,3,32.38422733399784,LeNet,3.110999416996492
FASHION,2,LIF,5,0,3.0595053329889197,LeNet,3.087030833994504
FASHION,2,ParaLIF,5,0,3.3712764169904403,LeNet,3.087030833994504
FASHION,2,LIF,5,1,4.093584625021322,LeNet,3.087030833994504
FASHION,2,ParaLIF,5,1,3.4771515829779673,LeNet,3.087030833994504
FASHION,2,LIF,5,2,5.4790017920022365,LeNet,3.087030833994504
FASHION,2,ParaLIF,5,2,3.861646625009598,LeNet,3.087030833994504
FASHION,2,LIF,5,3,6.439904832979664,LeNet,3.087030833994504
FASHION,2,ParaLIF,5,3,4.609799291007221,LeNet,3.087030833994504
FASHION,2,LIF,10,0,3.5391017079818994,LeNet,3.087030833994504
FASHION,2,ParaLIF,10,0,3.4593227920122445,LeNet,3.087030833994504
FASHION,2,LIF,10,1,5.4886287080007605,LeNet,3.087030833994504
FASHION,2,ParaLIF,10,1,3.4439330830064137,LeNet,3.087030833994504
FASHION,2,LIF,10,2,7.031574082997395,LeNet,3.087030833994504
FASHION,2,ParaLIF,10,2,3.725157000008039,LeNet,3.087030833994504
FASHION,2,LIF,10,3,8.810033582994947,LeNet,3.087030833994504
FASHION,2,ParaLIF,10,3,4.403510916978121,LeNet,3.087030833994504
FASHION,2,LIF,20,0,3.829591833986342,LeNet,3.087030833994504
FASHION,2,ParaLIF,20,0,3.5341820410103537,LeNet,3.087030833994504
FASHION,2,LIF,20,1,7.56713424998452,LeNet,3.087030833994504
FASHION,2,ParaLIF,20,1,4.27498195800581,LeNet,3.087030833994504
FASHION,2,LIF,20,2,11.489964832988337,LeNet,3.087030833994504
FASHION,2,ParaLIF,20,2,5.71416983299423,LeNet,3.087030833994504
FASHION,2,LIF,20,3,15.381471750006313,LeNet,3.087030833994504
FASHION,2,ParaLIF,20,3,6.455139124998823,LeNet,3.087030833994504
FASHION,2,LIF,30,0,4.268980792025104,LeNet,3.087030833994504
FASHION,2,ParaLIF,30,0,3.673240125004668,LeNet,3.087030833994504
FASHION,2,LIF,30,1,9.244458791974466,LeNet,3.087030833994504
FASHION,2,ParaLIF,30,1,5.851558207999915,LeNet,3.087030833994504
FASHION,2,LIF,30,2,14.78668399999151,LeNet,3.087030833994504
FASHION,2,ParaLIF,30,2,8.064008708985057,LeNet,3.087030833994504
FASHION,2,LIF,30,3,20.265846208989387,LeNet,3.087030833994504
FASHION,2,ParaLIF,30,3,9.169519292016048,LeNet,3.087030833994504
FASHION,2,LIF,50,0,4.439860667014727,LeNet,3.087030833994504
FASHION,2,ParaLIF,50,0,3.890115167014301,LeNet,3.087030833994504
FASHION,2,LIF,50,1,14.55494233299396,LeNet,3.087030833994504
FASHION,2,ParaLIF,50,1,10.553819541994017,LeNet,3.087030833994504
FASHION,2,LIF,50,2,23.356716375012184,LeNet,3.087030833994504
FASHION,2,ParaLIF,50,2,14.577318916999502,LeNet,3.087030833994504
FASHION,2,LIF,50,3,32.36363074998371,LeNet,3.087030833994504
FASHION,2,ParaLIF,50,3,16.694728917005705,LeNet,3.087030833994504
FASHION,2,LIF,100,0,6.035026832978474,LeNet,3.087030833994504
FASHION,2,ParaLIF,100,0,3.3275828750047367,LeNet,3.087030833994504
FASHION,2,LIF,100,1,25.05061820798437,LeNet,3.087030833994504
FASHION,2,ParaLIF,100,1,20.531838167022215,LeNet,3.087030833994504
FASHION,2,LIF,100,2,43.20417041698238,LeNet,3.087030833994504
FASHION,2,ParaLIF,100,2,28.70937966601923,LeNet,3.087030833994504
FASHION,2,LIF,100,3,62.79382004099898,LeNet,3.087030833994504
FASHION,2,ParaLIF,100,3,32.208238541992614,LeNet,3.087030833994504
FASHION,3,LIF,5,0,2.955647458002204,LeNet,3.031555291003315
FASHION,3,ParaLIF,5,0,3.275565207994078,LeNet,3.031555291003315
FASHION,3,LIF,5,1,3.917723541992018,LeNet,3.031555291003315
FASHION,3,ParaLIF,5,1,3.4729207920026965,LeNet,3.031555291003315
FASHION,3,LIF,5,2,4.986211457988247,LeNet,3.031555291003315
FASHION,3,ParaLIF,5,2,3.854416207992472,LeNet,3.031555291003315
FASHION,3,LIF,5,3,6.089210542006185,LeNet,3.031555291003315
FASHION,3,ParaLIF,5,3,4.159034250013065,LeNet,3.031555291003315
FASHION,3,LIF,10,0,3.420030665991362,LeNet,3.031555291003315
FASHION,3,ParaLIF,10,0,3.4248367919935845,LeNet,3.031555291003315
FASHION,3,LIF,10,1,5.186326249997364,LeNet,3.031555291003315
FASHION,3,ParaLIF,10,1,3.4564259169856086,LeNet,3.031555291003315
FASHION,3,LIF,10,2,7.071909749996848,LeNet,3.031555291003315
FASHION,3,ParaLIF,10,2,3.844694667001022,LeNet,3.031555291003315
FASHION,3,LIF,10,3,8.904997500008903,LeNet,3.031555291003315
FASHION,3,ParaLIF,10,3,4.079440833011176,LeNet,3.031555291003315
FASHION,3,LIF,20,0,3.820174542022869,LeNet,3.031555291003315
FASHION,3,ParaLIF,20,0,3.7321542499994393,LeNet,3.031555291003315
FASHION,3,LIF,20,1,7.762726082990412,LeNet,3.031555291003315
FASHION,3,ParaLIF,20,1,4.698242209007731,LeNet,3.031555291003315
FASHION,3,LIF,20,2,11.46678683400387,LeNet,3.031555291003315
FASHION,3,ParaLIF,20,2,6.384777041996131,LeNet,3.031555291003315
FASHION,3,LIF,20,3,15.515134833025511,LeNet,3.031555291003315
FASHION,3,ParaLIF,20,3,7.037319457973354,LeNet,3.031555291003315
FASHION,3,LIF,30,0,4.197287208982743,LeNet,3.031555291003315
FASHION,3,ParaLIF,30,0,3.7441561250016098,LeNet,3.031555291003315
FASHION,3,LIF,30,1,9.83956299998681,LeNet,3.031555291003315
FASHION,3,ParaLIF,30,1,6.54628391598817,LeNet,3.031555291003315
FASHION,3,LIF,30,2,15.425653040991165,LeNet,3.031555291003315
FASHION,3,ParaLIF,30,2,8.591794834006578,LeNet,3.031555291003315
FASHION,3,LIF,30,3,22.00932745798491,LeNet,3.031555291003315
FASHION,3,ParaLIF,30,3,9.796373624994883,LeNet,3.031555291003315
FASHION,3,LIF,50,0,4.43383600001107,LeNet,3.031555291003315
FASHION,3,ParaLIF,50,0,3.846288250002544,LeNet,3.031555291003315
FASHION,3,LIF,50,1,13.667838666005991,LeNet,3.031555291003315
FASHION,3,ParaLIF,50,1,10.457578166999156,LeNet,3.031555291003315
FASHION,3,LIF,50,2,23.55613316700328,LeNet,3.031555291003315
FASHION,3,ParaLIF,50,2,14.776614625006914,LeNet,3.031555291003315
FASHION,3,LIF,50,3,34.13889616698725,LeNet,3.031555291003315
FASHION,3,ParaLIF,50,3,16.93492845899891,LeNet,3.031555291003315
FASHION,3,LIF,100,0,6.159179165988462,LeNet,3.031555291003315
FASHION,3,ParaLIF,100,0,3.4305654169875197,LeNet,3.031555291003315
FASHION,3,LIF,100,1,25.71680304201436,LeNet,3.031555291003315
FASHION,3,ParaLIF,100,1,20.97242633299902,LeNet,3.031555291003315
FASHION,3,LIF,100,2,45.24399899999844,LeNet,3.031555291003315
FASHION,3,ParaLIF,100,2,29.099890667013824,LeNet,3.031555291003315
FASHION,3,LIF,100,3,62.622852708009304,LeNet,3.031555291003315
FASHION,3,ParaLIF,100,3,32.39126704100636,LeNet,3.031555291003315
FASHION,4,LIF,5,0,3.3984733750112355,LeNet,3.0115354580048006
FASHION,4,ParaLIF,5,0,3.3860439580166712,LeNet,3.0115354580048006
FASHION,4,LIF,5,1,4.179728499992052,LeNet,3.0115354580048006
FASHION,4,ParaLIF,5,1,3.3422964159981348,LeNet,3.0115354580048006
FASHION,4,LIF,5,2,4.966920832986943,LeNet,3.0115354580048006
FASHION,4,ParaLIF,5,2,3.7946201659797225,LeNet,3.0115354580048006
FASHION,4,LIF,5,3,5.827719166991301,LeNet,3.0115354580048006
FASHION,4,ParaLIF,5,3,3.9193673339905217,LeNet,3.0115354580048006
FASHION,4,LIF,10,0,3.4008128329878673,LeNet,3.0115354580048006
FASHION,4,ParaLIF,10,0,3.3411938750068657,LeNet,3.0115354580048006
FASHION,4,LIF,10,1,5.306597999995574,LeNet,3.0115354580048006
FASHION,4,ParaLIF,10,1,3.638151125021978,LeNet,3.0115354580048006
FASHION,4,LIF,10,2,7.201067000016337,LeNet,3.0115354580048006
FASHION,4,ParaLIF,10,2,3.937336292001419,LeNet,3.0115354580048006
FASHION,4,LIF,10,3,9.352959374984492,LeNet,3.0115354580048006
FASHION,4,ParaLIF,10,3,4.243691582989413,LeNet,3.0115354580048006
FASHION,4,LIF,20,0,3.9526729580247775,LeNet,3.0115354580048006
