dataset,iteration,model,n_steps,n_hidden_layers,time,baseline,baseline_time
MNIST,2,ParaLIF,30,0,3.4544803330209106,LeNet,3.219382917013718
MNIST,2,LIF,30,1,8.915833667007973,LeNet,3.219382917013718
MNIST,2,ParaLIF,30,1,5.793861707992619,LeNet,3.219382917013718
MNIST,2,LIF,30,2,14.474944582994794,LeNet,3.219382917013718
MNIST,2,ParaLIF,30,2,8.054110875003971,LeNet,3.219382917013718
MNIST,2,LIF,30,3,19.81238245801069,LeNet,3.219382917013718
MNIST,2,ParaLIF,30,3,9.04363345899037,LeNet,3.219382917013718
MNIST,2,LIF,50,0,4.361534291994758,LeNet,3.219382917013718
MNIST,2,ParaLIF,50,0,3.6696341250208206,LeNet,3.219382917013718
MNIST,2,LIF,50,1,13.246321042010095,LeNet,3.219382917013718
MNIST,2,ParaLIF,50,1,10.248062916012714,LeNet,3.219382917013718
MNIST,2,LIF,50,2,22.846898417017655,LeNet,3.219382917013718
MNIST,2,ParaLIF,50,2,14.269034124998143,LeNet,3.219382917013718
MNIST,2,LIF,50,3,31.37858587500523,LeNet,3.219382917013718
MNIST,2,ParaLIF,50,3,16.164410625002347,LeNet,3.219382917013718
MNIST,2,LIF,100,0,5.906368750002002,LeNet,3.219382917013718
MNIST,2,ParaLIF,100,0,3.3225736250169575,LeNet,3.219382917013718
MNIST,2,LIF,100,1,23.5980473330128,LeNet,3.219382917013718
MNIST,2,ParaLIF,100,1,20.394542333000572,LeNet,3.219382917013718
MNIST,2,LIF,100,2,42.11036287501338,LeNet,3.219382917013718
MNIST,2,ParaLIF,100,2,28.32620149999275,LeNet,3.219382917013718
MNIST,2,LIF,100,3,59.59925808297703,LeNet,3.219382917013718
MNIST,2,ParaLIF,100,3,31.985178167000413,LeNet,3.219382917013718
MNIST,3,LIF,5,0,2.8053338339959737,LeNet,3.1538222919916734
MNIST,3,ParaLIF,5,0,3.223773167002946,LeNet,3.1538222919916734
MNIST,3,LIF,5,1,3.6847772499895655,LeNet,3.1538222919916734
MNIST,3,ParaLIF,5,1,3.1629637499863748,LeNet,3.1538222919916734
MNIST,3,LIF,5,2,4.625901999999769,LeNet,3.1538222919916734
MNIST,3,ParaLIF,5,2,3.3611200409941375,LeNet,3.1538222919916734
MNIST,3,LIF,5,3,5.518042125011561,LeNet,3.1538222919916734
MNIST,3,ParaLIF,5,3,3.641722166998079,LeNet,3.1538222919916734
MNIST,3,LIF,10,0,3.1591526249831077,LeNet,3.1538222919916734
MNIST,3,ParaLIF,10,0,3.0775700410013087,LeNet,3.1538222919916734
MNIST,3,LIF,10,1,4.791161791974446,LeNet,3.1538222919916734
MNIST,3,ParaLIF,10,1,3.1777939169842284,LeNet,3.1538222919916734
MNIST,3,LIF,10,2,6.680573040997842,LeNet,3.1538222919916734
MNIST,3,ParaLIF,10,2,3.5145484159875195,LeNet,3.1538222919916734
MNIST,3,LIF,10,3,8.38450366599136,LeNet,3.1538222919916734
MNIST,3,ParaLIF,10,3,3.713708916999167,LeNet,3.1538222919916734
MNIST,3,LIF,20,0,3.4945956250012387,LeNet,3.1538222919916734
MNIST,3,ParaLIF,20,0,3.180009000003338,LeNet,3.1538222919916734
MNIST,3,LIF,20,1,6.943151875020703,LeNet,3.1538222919916734
MNIST,3,ParaLIF,20,1,4.031032209022669,LeNet,3.1538222919916734
MNIST,3,LIF,20,2,10.331796582991956,LeNet,3.1538222919916734
MNIST,3,ParaLIF,20,2,5.549269124981947,LeNet,3.1538222919916734
MNIST,3,LIF,20,3,13.842685542011168,LeNet,3.1538222919916734
MNIST,3,ParaLIF,20,3,6.315546958008781,LeNet,3.1538222919916734
MNIST,3,LIF,30,0,3.734554124996066,LeNet,3.1538222919916734
MNIST,3,ParaLIF,30,0,3.3770082089758944,LeNet,3.1538222919916734
MNIST,3,LIF,30,1,8.964196874992922,LeNet,3.1538222919916734
MNIST,3,ParaLIF,30,1,5.906794791982975,LeNet,3.1538222919916734
MNIST,3,LIF,30,2,14.461044750001747,LeNet,3.1538222919916734
MNIST,3,ParaLIF,30,2,8.327818749996368,LeNet,3.1538222919916734
MNIST,3,LIF,30,3,20.649100333015667,LeNet,3.1538222919916734
MNIST,3,ParaLIF,30,3,9.399159291991964,LeNet,3.1538222919916734
MNIST,3,LIF,50,0,4.49556070799008,LeNet,3.1538222919916734
MNIST,3,ParaLIF,50,0,3.815652791992761,LeNet,3.1538222919916734
MNIST,3,LIF,50,1,12.994457541004522,LeNet,3.1538222919916734
MNIST,3,ParaLIF,50,1,10.454233083000872,LeNet,3.1538222919916734
MNIST,3,LIF,50,2,22.452845417021308,LeNet,3.1538222919916734
MNIST,3,ParaLIF,50,2,14.356657541997265,LeNet,3.1538222919916734
MNIST,3,LIF,50,3,30.83359695901163,LeNet,3.1538222919916734
MNIST,3,ParaLIF,50,3,16.76773295897874,LeNet,3.1538222919916734
MNIST,3,LIF,100,0,5.8411588340241,LeNet,3.1538222919916734
MNIST,3,ParaLIF,100,0,3.3218465419777203,LeNet,3.1538222919916734
MNIST,3,LIF,100,1,24.442042124981526,LeNet,3.1538222919916734
MNIST,3,ParaLIF,100,1,20.32199770800071,LeNet,3.1538222919916734
MNIST,3,LIF,100,2,41.75677999999607,LeNet,3.1538222919916734
MNIST,3,ParaLIF,100,2,28.341921459010337,LeNet,3.1538222919916734
MNIST,3,LIF,100,3,61.274610250024125,LeNet,3.1538222919916734
MNIST,3,ParaLIF,100,3,31.717511333990842,LeNet,3.1538222919916734
MNIST,4,LIF,5,0,2.717153999983566,LeNet,3.1005579170014244
MNIST,4,ParaLIF,5,0,3.0618954590172507,LeNet,3.1005579170014244
MNIST,4,LIF,5,1,3.7173879589827266,LeNet,3.1005579170014244
MNIST,4,ParaLIF,5,1,3.209307292010635,LeNet,3.1005579170014244
MNIST,4,LIF,5,2,4.965411709010368,LeNet,3.1005579170014244
MNIST,4,ParaLIF,5,2,3.635245458019199,LeNet,3.1005579170014244
MNIST,4,LIF,5,3,5.629611874988768,LeNet,3.1005579170014244
MNIST,4,ParaLIF,5,3,3.8173700839979574,LeNet,3.1005579170014244
MNIST,4,LIF,10,0,3.2243483749916777,LeNet,3.1005579170014244
MNIST,4,ParaLIF,10,0,3.335280583007261,LeNet,3.1005579170014244
MNIST,4,LIF,10,1,4.963860541000031,LeNet,3.1005579170014244
MNIST,4,ParaLIF,10,1,3.4067393750010524,LeNet,3.1005579170014244
MNIST,4,LIF,10,2,6.863024708000012,LeNet,3.1005579170014244
MNIST,4,ParaLIF,10,2,3.6574484589800704,LeNet,3.1005579170014244
MNIST,4,LIF,10,3,8.435442582995165,LeNet,3.1005579170014244
MNIST,4,ParaLIF,10,3,3.8176238750165794,LeNet,3.1005579170014244
MNIST,4,LIF,20,0,3.494246749993181,LeNet,3.1005579170014244
MNIST,4,ParaLIF,20,0,3.326086042012321,LeNet,3.1005579170014244
MNIST,4,LIF,20,1,7.03506554098567,LeNet,3.1005579170014244
MNIST,4,ParaLIF,20,1,4.054070749989478,LeNet,3.1005579170014244
MNIST,4,LIF,20,2,10.530466249998426,LeNet,3.1005579170014244
MNIST,4,ParaLIF,20,2,5.570968042011373,LeNet,3.1005579170014244
MNIST,4,LIF,20,3,14.509830291994149,LeNet,3.1005579170014244
MNIST,4,ParaLIF,20,3,6.33518099997309,LeNet,3.1005579170014244
MNIST,4,LIF,30,0,3.8526775000209454,LeNet,3.1005579170014244
MNIST,4,ParaLIF,30,0,3.4959740840131417,LeNet,3.1005579170014244
MNIST,4,LIF,30,1,9.11447241701535,LeNet,3.1005579170014244
MNIST,4,ParaLIF,30,1,5.870580624992726,LeNet,3.1005579170014244
MNIST,4,LIF,30,2,14.429317041998729,LeNet,3.1005579170014244
MNIST,4,ParaLIF,30,2,8.067676917009521,LeNet,3.1005579170014244
MNIST,4,LIF,30,3,20.133488583989674,LeNet,3.1005579170014244
MNIST,4,ParaLIF,30,3,9.151016624993645,LeNet,3.1005579170014244
MNIST,4,LIF,50,0,4.355893665982876,LeNet,3.1005579170014244
MNIST,4,ParaLIF,50,0,3.7364821250084788,LeNet,3.1005579170014244
MNIST,4,LIF,50,1,13.591425749997143,LeNet,3.1005579170014244
MNIST,4,ParaLIF,50,1,10.331611959001748,LeNet,3.1005579170014244
MNIST,4,LIF,50,2,22.560548124980414,LeNet,3.1005579170014244
MNIST,4,ParaLIF,50,2,14.337149709026562,LeNet,3.1005579170014244
MNIST,4,LIF,50,3,31.353434458986158,LeNet,3.1005579170014244
MNIST,4,ParaLIF,50,3,16.255917500006035,LeNet,3.1005579170014244
MNIST,4,LIF,100,0,5.8637298749818,LeNet,3.1005579170014244
MNIST,4,ParaLIF,100,0,3.311449792003259,LeNet,3.1005579170014244
MNIST,4,LIF,100,1,24.07017699998687,LeNet,3.1005579170014244
MNIST,4,ParaLIF,100,1,20.284187832992757,LeNet,3.1005579170014244
MNIST,4,LIF,100,2,42.18618620801135,LeNet,3.1005579170014244
MNIST,4,ParaLIF,100,2,28.078507917001843,LeNet,3.1005579170014244
MNIST,4,LIF,100,3,59.41596887499327,LeNet,3.1005579170014244
MNIST,4,ParaLIF,100,3,31.839846832997864,LeNet,3.1005579170014244
